timeOpen,timeClose,timeHigh,timeLow,open,high,low,close,volume,marketCap
2023-08-24T00:00:00.000Z,2023-08-24T23:59:59.999Z,2023-08-24T10:29:00.000Z,2023-08-24T18:55:00.000Z,1.12196693,1.132250242,1.110666014,1.123599142,232062.72,65886085.12
2023-08-23T00:00:00.000Z,2023-08-23T23:59:59.999Z,2023-08-23T20:28:00.000Z,2023-08-23T12:58:00.000Z,1.126520747,1.131250033,1.117745861,1.122159352,229914.66,65801658.1
2023-08-22T00:00:00.000Z,2023-08-22T23:59:59.999Z,2023-08-22T00:01:00.000Z,2023-08-22T21:28:00.000Z,1.134263374,1.134281673,1.116870295,1.127221917,203044.87,66098518.97
2023-08-21T00:00:00.000Z,2023-08-21T23:59:59.999Z,2023-08-21T21:39:00.000Z,2023-08-21T10:55:00.000Z,1.129919101,1.146837911,1.111688492,1.134318822,241192.47,66514670.31
2023-08-20T00:00:00.000Z,2023-08-20T23:59:59.999Z,2023-08-20T00:25:00.000Z,2023-08-20T17:53:00.000Z,1.142043655,1.142538166,1.127253475,1.130310427,201504.26,66279624.31
2023-08-19T00:00:00.000Z,2023-08-19T23:59:59.999Z,2023-08-19T18:35:00.000Z,2023-08-19T07:28:00.000Z,1.138781915,1.148355483,1.13072958,1.142522319,226084.12,66995710.45
2023-08-18T00:00:00.000Z,2023-08-18T23:59:59.999Z,2023-08-18T01:01:00.000Z,2023-08-18T18:10:00.000Z,1.156703166,1.166283033,1.125588511,1.138710746,331132.99,66772205.84
2023-08-17T00:00:00.000Z,2023-08-17T23:59:59.999Z,2023-08-17T00:31:00.000Z,2023-08-17T21:46:00.000Z,1.208218491,1.208812056,1.149280197,1.15650859,344559.95,67815843.38
2023-08-16T00:00:00.000Z,2023-08-16T23:59:59.999Z,2023-08-16T00:26:00.000Z,2023-08-16T16:09:00.000Z,1.243159497,1.243967791,1.206715443,1.208190476,365854.26,70846387.82
2023-08-15T00:00:00.000Z,2023-08-15T23:59:59.999Z,2023-08-15T05:12:00.000Z,2023-08-15T23:02:00.000Z,1.287365263,1.321062139,1.240970293,1.243321865,395892.48,72906437.17
2023-08-14T00:00:00.000Z,2023-08-14T23:59:59.999Z,2023-08-14T23:55:00.000Z,2023-08-14T00:56:00.000Z,1.216989272,1.287944944,1.211229613,1.287354353,511803.16,75488432.96
2023-08-13T00:00:00.000Z,2023-08-13T23:59:59.999Z,2023-08-13T12:20:00.000Z,2023-08-13T00:33:00.000Z,1.199575362,1.231851742,1.197778044,1.217006885,263690.04,71363368.19
2023-08-12T00:00:00.000Z,2023-08-12T23:59:59.999Z,2023-08-12T23:59:00.000Z,2023-08-12T21:16:00.000Z,1.179536433,1.19969697,1.175538264,1.19969697,187416.12,70348341.99
2023-08-11T00:00:00.000Z,2023-08-11T23:59:59.999Z,2023-08-11T21:32:00.000Z,2023-08-11T03:08:00.000Z,1.176125411,1.187501829,1.165964462,1.179520304,216719.94,69165214.05
2023-08-10T00:00:00.000Z,2023-08-10T23:59:59.999Z,2023-08-10T13:54:00.000Z,2023-08-10T23:28:00.000Z,1.18185289,1.202932155,1.173457967,1.176705602,228196.36,69000164.35
2023-08-09T00:00:00.000Z,2023-08-09T23:59:59.999Z,2023-08-09T22:48:00.000Z,2023-08-09T07:03:00.000Z,1.181223958,1.189849536,1.164402663,1.181881521,244746.26,69303672.1
2023-08-08T00:00:00.000Z,2023-08-08T23:59:59.999Z,2023-08-08T21:24:00.000Z,2023-08-08T08:59:00.000Z,1.137519731,1.187592279,1.130345442,1.181080192,368689.28,69256683.45
2023-08-07T00:00:00.000Z,2023-08-07T23:59:59.999Z,2023-08-07T02:17:00.000Z,2023-08-07T12:14:00.000Z,1.137565023,1.140741297,1.124790672,1.137586334,276407.66,66706272.08
2023-08-06T00:00:00.000Z,2023-08-06T23:59:59.999Z,2023-08-06T14:18:00.000Z,2023-08-06T01:53:00.000Z,1.128194532,1.147605758,1.127070138,1.13743404,230322.41,66697341.77
2023-08-05T00:00:00.000Z,2023-08-05T23:59:59.999Z,2023-08-05T06:09:00.000Z,2023-08-05T13:44:00.000Z,1.134646404,1.135557654,1.12656576,1.128106035,173428.59,66150362.27
2023-08-04T00:00:00.000Z,2023-08-04T23:59:59.999Z,2023-08-04T04:56:00.000Z,2023-08-04T21:30:00.000Z,1.148902803,1.150450049,1.130365832,1.134676525,237964.74,66535645.47
2023-08-03T00:00:00.000Z,2023-08-03T23:59:59.999Z,2023-08-03T00:41:00.000Z,2023-08-03T22:32:00.000Z,1.154057615,1.154790121,1.136460189,1.149042501,252029.6,67378043.66
2023-08-02T00:00:00.000Z,2023-08-02T23:59:59.999Z,2023-08-02T01:34:00.000Z,2023-08-02T16:58:00.000Z,1.17231313,1.174835367,1.144142797,1.153930349,359453.74,67664659.38
2023-08-01T00:00:00.000Z,2023-08-01T23:59:59.999Z,2023-08-01T18:39:00.000Z,2023-08-01T15:12:00.000Z,1.163972952,1.1842326,1.156746629,1.172517134,332446.74,68754559.21
2023-07-31T00:00:00.000Z,2023-07-31T23:59:59.999Z,2023-07-31T04:44:00.000Z,2023-07-31T18:28:00.000Z,1.163661603,1.179340376,1.158050878,1.163905952,279648.7,68249613.05
2023-07-30T00:00:00.000Z,2023-07-30T23:59:59.999Z,2023-07-30T00:00:00.000Z,2023-07-30T23:08:00.000Z,1.186127405,1.186127405,1.160908445,1.163633782,256191.07,68233653.42
2023-07-29T00:00:00.000Z,2023-07-29T23:59:59.999Z,2023-07-29T23:33:00.000Z,2023-07-29T13:47:00.000Z,1.165452779,1.18921915,1.15661444,1.186119587,310170.18,69552185.61
2023-07-28T00:00:00.000Z,2023-07-28T23:59:59.999Z,2023-07-28T20:06:00.000Z,2023-07-28T07:45:00.000Z,1.158215733,1.170188256,1.152798353,1.165632376,288142.23,68350847.83
2023-07-27T00:00:00.000Z,2023-07-27T23:59:59.999Z,2023-07-27T05:29:00.000Z,2023-07-27T19:38:00.000Z,1.165468869,1.17011865,1.157358203,1.157944547,229496.12,67900045.64
2023-07-26T00:00:00.000Z,2023-07-26T23:59:59.999Z,2023-07-26T12:29:00.000Z,2023-07-26T02:10:00.000Z,1.166872799,1.179311886,1.162916689,1.165414394,266441.48,68338065.73
2023-07-25T00:00:00.000Z,2023-07-25T23:59:59.999Z,2023-07-25T07:49:00.000Z,2023-07-25T12:32:00.000Z,1.164557325,1.183229215,1.159687869,1.166756617,218636.92,68416771.54
2023-07-24T00:00:00.000Z,2023-07-24T23:59:59.999Z,2023-07-24T00:56:00.000Z,2023-07-24T21:12:00.000Z,1.185431079,1.217113844,1.158025077,1.164356444,286829.49,68276029.18
2023-07-23T00:00:00.000Z,2023-07-23T23:59:59.999Z,2023-07-23T21:52:00.000Z,2023-07-23T05:48:00.000Z,1.17271406,1.186319551,1.16717377,1.184922711,304219.55,69482002.72
2023-07-22T00:00:00.000Z,2023-07-22T23:59:59.999Z,2023-07-22T02:14:00.000Z,2023-07-22T12:32:00.000Z,1.180563438,1.187866392,1.168398026,1.172401882,195123.39,68747800.99
2023-07-21T00:00:00.000Z,2023-07-21T23:59:59.999Z,2023-07-21T00:33:00.000Z,2023-07-21T17:02:00.000Z,1.208139244,1.214999759,1.17338563,1.180539297,316388.34,69224966.19
2023-07-20T00:00:00.000Z,2023-07-20T23:59:59.999Z,2023-07-20T23:49:00.000Z,2023-07-20T22:38:00.000Z,1.178333749,1.213706947,1.159803193,1.207493313,435025.24,70805507.29
